id,firstName,lastName,programCode,year,gender
2024-1009,Melchora,Aquino,BEEDENG,2,Female
2024-1040,Jessica,Hernandez,BSSTAT,1,Female
2023-1059,Johnathan,Robinson,BEEDENG,2,Male
2022-1074,Heather,Hall,BEEDENG,3,Female
2024-1096,Kelly,Gutierrez,BEEDENG,1,Female
2021-1005,Emilio,Aguinaldo,BSSTAT,4,Male
2024-1020,Vicente,Lukban,BSSTAT,1,Male
2023-1031,Michael,Johnson,BSSTAT,2,Male
2023-1043,Joseph,Wilson,BSSTAT,2,Male
2023-1055,Tyler,Sanchez,BSSTAT,2,Male
2023-1067,Aaron,Nguyen,BSSTAT,2,Male
2022-1078,Courtney,Carter,BSSTAT,3,Female
2021-1089,Timothy,Reyes,BSSTAT,4,Male
2019-1987,Freddy,Fazbear,BSIT,4,Male
2019-1945,Bonnie,Bunny,BSIT,4,Male
2022-1010,Marcelo,Del Pilar,BSIT,3,Male
2021-1021,Artemio,Ricarte,BSIT,4,Male
2021-1029,John,Doe,BSIT,4,Male
2021-1041,Daniel,Lopez,BSIT,4,Male
2021-1053,Nicholas,White,BSIT,4,Male
2021-1065,Thomas,Scott,BSIT,4,Male
2024-1076,Amber,Campbell,BSIT,1,Female
2023-1087,Benjamin,Edwards,BSIT,2,Male
2022-1098,Mariah,Morgan,BSIT,3,Female
2022-1006,Apolinario,Mabini,BSIS,3,Male
2021-1017,Miguel,Malvar,BSIS,4,Male
2022-1030,Jane,Smith,BSIS,3,Female
2022-1042,Samantha,Gonzalez,BSIS,3,Female
2022-1054,Brittany,Harris,BSIS,3,Female
2022-1066,Haley,Torres,BSIS,3,Female
2021-1077,Paul,Mitchell,BSIS,4,Male
2024-1088,Katie,Collins,BSIS,1,Female
2023-1099,Stephen,Cooper,BSIS,2,Male
2024-1004,Andres,Bonifacio,BSHM,1,Male
2022-1014,Diego,Silang,BSHM,3,Male
2024-1024,Agueda,Kahabagan,BSHM,1,Female
2022-1038,Sarah,Rodriguez,BSHM,3,Female
2024-1048,Megan,Jackson,BSHM,1,Female
2024-1060,Victoria,Walker,BSHM,1,Female
2023-1071,Justin,Adams,BSHM,2,Male
2022-1082,Mary,Evans,BSHM,3,Female
2021-1093,Jeffrey,Murphy,BSHM,4,Male
2024-1012,Sultan,Kudarat,BSEDMATH,1,Male
2024-1032,Emily,Williams,BSEDMATH,1,Female
2024-1052,Alyssa,Thompson,BSEDMATH,1,Female
2021-1073,Mark,Baker,BSEDMATH,4,Male
2023-1095,Jacob,Rogers,BSEDMATH,2,Male
2024-1016,Emilio,Jacinto,BSEDCHEM,1,Male
2021-1033,Christopher,Brown,BSEDCHEM,4,Male
2022-1050,Elizabeth,Lee,BSEDCHEM,3,Female
2024-1064,Grace,Wright,BSEDCHEM,1,Female
2021-1085,Jason,Parker,BSEDCHEM,4,Male
2023-1007,Gabriela,Silang,BSEDBIO,2,Female
2022-1022,Gliceria,Marella,BSEDBIO,3,Female
2024-1044,Olivia,Anderson,BSEDBIO,1,Female
2022-1062,Stephanie,Allen,BSEDBIO,3,Female
2024-1084,Nicole,Diaz,BSEDBIO,1,Female
2025-0018,Kate Mikaela,Dagohoy,BSCS,2,Female
2021-1001,Juan,Dela Cruz,BSCS,4,Male
2023-1011,Gregorio,Del Pilar,BSCS,2,Male
2022-1026,Marcela,Agoncillo,BSCS,3,Female
2023-1035,Matthew,Garcia,BSCS,2,Male
2022-1046,Lauren,Taylor,BSCS,3,Female
2022-1058,Kayla,Lewis,BSCS,3,Female
2021-1069,Charles,Flores,BSCS,4,Male
2021-1081,Kenneth,Phillips,BSCS,4,Male
2024-1092,Kimberly,Morales,BSCS,1,Female
2021-1009,Antonio,Luna,BSCA,4,Male
2022-1018,Vicente,Lim,BSCA,3,Male
2024-1028,Delfina,Herbosa,BSCA,1,Female
2023-1039,Andrew,Martinez,BSCA,2,Male
2023-1051,Ryan,Perez,BSCA,2,Male
2023-1063,Kevin,King,BSCA,2,Male
2023-1075,Steven,Rivera,BSCA,2,Male
2022-1086,Emma,Cruz,BSCA,3,Female
2021-1097,Gary,Ortiz,BSCA,4,Male
2025-0765,Kyoka,Izumi,BSBIO (MICROBIO),1,Female
2023-1019,Josefa,Llanes-Escoda,BSBIO (MICROBIO),2,Female
2021-1045,William,Thomas,BSBIO (MICROBIO),4,Male
2024-1068,Natalie,Hill,BSBIO (MICROBIO),1,Female
2022-1090,Alexandra,Stewart,BSBIO (MICROBIO),3,Female
2021-9082,Jotaro,Joestar,BSBIO (MARINE),4,Male
2023-0901,Jeffy,Boy,BSBIO (MARINE),3,Male
2022-1034,Amanda,Jones,BSBIO (MARINE),3,Female
2024-1056,Rachel,Clark,BSBIO (MARINE),1,Female
2023-1079,Brian,Roberts,BSBIO (MARINE),2,Male
2025-0987,Ludwig,Varhalla,BSBA (ECON),1,Male
